context_level,representation,outer_fold,label,f1
L2,bert,4,3,0.81
L2,bert,4,4,0.7969924812030076
L2,bert,4,5,0.6861313868613138
L2,bert,4,6,0.825
L2,bert,4,7,0.7086614173228346
L2,bert,4,8,0.5125628140703518
L2,bert,4,9,0.682051282051282
L2,bert,5,0,0.7799043062200957
L2,bert,5,1,0.47567567567567565
L2,bert,5,2,0.7764127764127764
L2,bert,5,3,0.8132992327365729
L2,bert,5,4,0.7843137254901961
L2,bert,5,5,0.6876513317191283
L2,bert,5,6,0.8300970873786407
L2,bert,5,7,0.7297297297297296
L2,bert,5,8,0.5471698113207547
L2,bert,5,9,0.6925064599483204
L2,bert,6,0,0.770780856423174
L2,bert,6,1,0.4305177111716621
L2,bert,6,2,0.75177304964539
L2,bert,6,3,0.8159203980099502
L2,bert,6,4,0.7897435897435898
L2,bert,6,5,0.6563307493540051
L2,bert,6,6,0.7813267813267813
L2,bert,6,7,0.7188264058679708
L2,bert,6,8,0.4691358024691358
L2,bert,6,9,0.6876513317191283
L2,bert,7,0,0.7368421052631577
L2,bert,7,1,0.4444444444444444
L2,bert,7,2,0.7602905569007264
L2,bert,7,3,0.8341232227488151
L2,bert,7,4,0.8229426433915212
L2,bert,7,5,0.6915422885572138
L2,bert,7,6,0.795
L2,bert,7,7,0.7301587301587302
L2,bert,7,8,0.5097087378640777
L2,bert,7,9,0.683937823834197
L2,bert,8,0,0.7804878048780488
L2,bert,8,1,0.49394673123486676
L2,bert,8,2,0.7733990147783252
L2,bert,8,3,0.8363636363636363
L2,bert,8,4,0.7602040816326531
L2,bert,8,5,0.7009803921568628
L2,bert,8,6,0.8009828009828011
L2,bert,8,7,0.754257907542579
L2,bert,8,8,0.4586666666666666
L2,bert,8,9,0.7073791348600508
L2,bert,9,0,0.7512437810945273
L2,bert,9,1,0.5367088607594935
L2,bert,9,2,0.7242206235011989
L2,bert,9,3,0.8168316831683168
L2,bert,9,4,0.7875894988066825
L2,bert,9,5,0.686868686868687
L2,bert,9,6,0.8019323671497584
L2,bert,9,7,0.7253333333333333
L2,bert,9,8,0.4895833333333333
L2,bert,9,9,0.7309644670050761
L2,bert,10,0,0.7336683417085427
L2,bert,10,1,0.5012919896640826
L2,bert,10,2,0.7238095238095238
L2,bert,10,3,0.8112244897959185
L2,bert,10,4,0.7851851851851852
L2,bert,10,5,0.7222222222222222
L2,bert,10,6,0.782828282828283
L2,bert,10,7,0.7229551451187336
L2,bert,10,8,0.495049504950495
L2,bert,10,9,0.6855791962174941
L3,bert,1,0,0.7772511848341231
L3,bert,1,1,0.5576923076923077
L3,bert,1,2,0.78
L3,bert,1,3,0.8556962025316455
L3,bert,1,4,0.8028503562945368
L3,bert,1,5,0.7313432835820894
