context_level,algorithm,representation,outer_fold,label,f1
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,10,2,0.7305699481865285
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,10,3,0.8162162162162163
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,10,4,0.7505938242280286
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,10,5,0.6928746928746928
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,10,6,0.7494553376906318
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,10,7,0.7272727272727274
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,10,8,0.5189504373177843
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,10,9,0.6787330316742083
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,1,0,0.7621247113163971
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,1,1,0.5533980582524272
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,1,2,0.7548076923076924
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,1,3,0.8534031413612566
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,1,4,0.815347721822542
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,1,5,0.7327188940092165
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,1,6,0.8578811369509043
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,1,7,0.7036144578313253
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,1,8,0.4794952681388013
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,1,9,0.7286821705426357
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,2,0,0.7979274611398963
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,2,1,0.6217391304347826
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,2,2,0.7041036717062634
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,2,3,0.826530612244898
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,2,4,0.8160000000000001
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,2,5,0.7488151658767773
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,2,6,0.8459770114942528
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,2,7,0.7708894878706198
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,2,8,0.4671052631578947
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,2,9,0.7346938775510204
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,3,0,0.7743467933491686
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,3,1,0.4294478527607362
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,3,2,0.7746478873239435
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,3,3,0.8132387706855791
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,3,4,0.7777777777777778
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,3,5,0.6915422885572138
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,3,6,0.8298368298368299
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,3,7,0.7086614173228346
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,3,8,0.5141509433962265
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,3,9,0.7311827956989247
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,4,0,0.7586206896551723
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,4,1,0.5473684210526315
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,4,2,0.7755102040816326
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,4,3,0.8607594936708861
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,4,4,0.8316326530612245
