context_level,representation,outer_fold,label,f1
L3,tfidf,4,4,0.7753086419753088
L3,tfidf,4,5,0.776978417266187
L3,tfidf,4,6,0.8181818181818183
L3,tfidf,4,7,0.7601078167115903
L3,tfidf,4,8,0.46596858638743455
L3,tfidf,4,9,0.6735751295336787
L3,tfidf,5,0,0.8009828009828011
L3,tfidf,5,1,0.4884318766066838
L3,tfidf,5,2,0.7380952380952381
L3,tfidf,5,3,0.8341968911917099
L3,tfidf,5,4,0.8040201005025126
L3,tfidf,5,5,0.7892156862745099
L3,tfidf,5,6,0.8345323741007193
L3,tfidf,5,7,0.8486486486486486
L3,tfidf,5,8,0.495049504950495
L3,tfidf,5,9,0.6882793017456359
L3,tfidf,6,0,0.7785888077858881
L3,tfidf,6,1,0.5174129353233831
L3,tfidf,6,2,0.7386091127098322
L3,tfidf,6,3,0.8337595907928387
L3,tfidf,6,4,0.7788944723618091
L3,tfidf,6,5,0.7167070217917675
L3,tfidf,6,6,0.7990654205607477
L3,tfidf,6,7,0.8177083333333334
L3,tfidf,6,8,0.41477272727272724
L3,tfidf,6,9,0.7475247524752475
L3,tfidf,7,0,0.7621359223300971
L3,tfidf,7,1,0.45544554455445546
L3,tfidf,7,2,0.7244897959183674
L3,tfidf,7,3,0.855036855036855
L3,tfidf,7,4,0.8316326530612245
L3,tfidf,7,5,0.7400468384074941
L3,tfidf,7,6,0.8203883495145631
L3,tfidf,7,7,0.8222811671087533
L3,tfidf,7,8,0.48548812664907653
L3,tfidf,7,9,0.7135678391959798
L3,tfidf,8,0,0.7722772277227723
L3,tfidf,8,1,0.505
L3,tfidf,8,2,0.7554479418886199
L3,tfidf,8,3,0.8413098236775818
L3,tfidf,8,4,0.7830423940149626
L3,tfidf,8,5,0.74
L3,tfidf,8,6,0.7952380952380953
L3,tfidf,8,7,0.8222811671087533
L3,tfidf,8,8,0.47179487179487184
L3,tfidf,8,9,0.6984924623115578
L3,tfidf,9,0,0.7651331719128329
L3,tfidf,9,1,0.4711538461538462
L3,tfidf,9,2,0.674937965260546
L3,tfidf,9,3,0.8535353535353536
L3,tfidf,9,4,0.8115942028985507
L3,tfidf,9,5,0.7227722772277227
L3,tfidf,9,6,0.7980049875311721
L3,tfidf,9,7,0.8089887640449438
L3,tfidf,9,8,0.4304461942257218
L3,tfidf,9,9,0.7115384615384615
L3,tfidf,10,0,0.7684478371501272
L3,tfidf,10,1,0.5219512195121951
L3,tfidf,10,2,0.7411167512690355
L3,tfidf,10,3,0.8256410256410257
L3,tfidf,10,4,0.7493540051679586
L3,tfidf,10,5,0.7268292682926829
L3,tfidf,10,6,0.7951219512195122
L3,tfidf,10,7,0.8095238095238095
L3,tfidf,10,8,0.5024390243902439
L3,tfidf,10,9,0.69377990430622
L3,tfidf_pos,1,0,0.7756097560975611
L3,tfidf_pos,1,1,0.4889975550122249
L3,tfidf_pos,1,2,0.7321867321867321
L3,tfidf_pos,1,3,0.8608923884514436
L3,tfidf_pos,1,4,0.7836538461538461
L3,tfidf_pos,1,5,0.7323232323232323
L3,tfidf_pos,1,6,0.8529411764705882
L3,tfidf_pos,1,7,0.8011049723756904
L3,tfidf_pos,1,8,0.46384039900249374
L3,tfidf_pos,1,9,0.6634146341463415
L3,tfidf_pos,2,0,0.7728337236533959
