context_level,model,outer_fold,label,f1
L3,bilstm_word2vec,3,3,0.6927083333333334
L3,bilstm_word2vec,3,4,0.38436482084690554
L3,bilstm_word2vec,3,5,0.4898785425101214
L3,bilstm_word2vec,3,6,0.6639676113360322
L3,bilstm_word2vec,3,7,0.5284974093264249
L3,bilstm_word2vec,3,8,0.22295081967213118
L3,bilstm_word2vec,3,9,0.4044943820224719
L3,bilstm_word2vec,4,0,0.48580441640378547
L3,bilstm_word2vec,4,1,0.3206521739130434
L3,bilstm_word2vec,4,2,0.48095238095238096
L3,bilstm_word2vec,4,3,0.6984126984126984
L3,bilstm_word2vec,4,4,0.3642172523961661
L3,bilstm_word2vec,4,5,0.26334519572953735
L3,bilstm_word2vec,4,6,0.6333333333333333
L3,bilstm_word2vec,4,7,0.31329113924050633
L3,bilstm_word2vec,4,8,0.009852216748768473
L3,bilstm_word2vec,4,9,0.22792022792022792
L3,bilstm_word2vec,5,0,0.6318289786223278
L3,bilstm_word2vec,5,1,0.41666666666666663
L3,bilstm_word2vec,5,2,0.4841269841269842
L3,bilstm_word2vec,5,3,0.6696629213483146
L3,bilstm_word2vec,5,4,0.31331592689295035
L3,bilstm_word2vec,5,5,0.42105263157894746
L3,bilstm_word2vec,5,6,0.6425339366515836
L3,bilstm_word2vec,5,7,0.40243902439024387
L3,bilstm_word2vec,5,8,0.10212765957446808
L3,bilstm_word2vec,5,9,0.26865671641791045
L3,bilstm_word2vec,6,0,0.563467492260062
L3,bilstm_word2vec,6,1,0.3
L3,bilstm_word2vec,6,2,0.5257985257985258
L3,bilstm_word2vec,6,3,0.6538461538461539
L3,bilstm_word2vec,6,4,0.4254385964912281
L3,bilstm_word2vec,6,5,0.42366412213740456
L3,bilstm_word2vec,6,6,0.616867469879518
L3,bilstm_word2vec,6,7,0.4351851851851852
L3,bilstm_word2vec,6,8,0.17228464419475656
L3,bilstm_word2vec,6,9,0.4607843137254902
L3,bilstm_word2vec,7,0,0.5308310991957105
L3,bilstm_word2vec,7,1,0.16
L3,bilstm_word2vec,7,2,0.4702549575070821
L3,bilstm_word2vec,7,3,0.6992665036674817
L3,bilstm_word2vec,7,4,0.2846975088967972
L3,bilstm_word2vec,7,5,0.4554079696394687
L3,bilstm_word2vec,7,6,0.6178489702517163
L3,bilstm_word2vec,7,7,0.2825278810408922
L3,bilstm_word2vec,7,8,0.368421052631579
L3,bilstm_word2vec,7,9,0.41083521444695265
L3,bilstm_word2vec,8,0,0.6341463414634146
L3,bilstm_word2vec,8,1,0.13382899628252787
L3,bilstm_word2vec,8,2,0.6033254156769595
L3,bilstm_word2vec,8,3,0.7333333333333334
L3,bilstm_word2vec,8,4,0.33618233618233617
L3,bilstm_word2vec,8,5,0.43731778425655976
L3,bilstm_word2vec,8,6,0.5971731448763251
L3,bilstm_word2vec,8,7,0.4054054054054054
L3,bilstm_word2vec,8,8,0.3669724770642202
L3,bilstm_word2vec,8,9,0.40896358543417366
L3,bilstm_word2vec,9,0,0.5152224824355972
L3,bilstm_word2vec,9,1,0.3804347826086956
L3,bilstm_word2vec,9,2,0.4031007751937985
L3,bilstm_word2vec,9,3,0.6967418546365914
L3,bilstm_word2vec,9,4,0.420062695924765
L3,bilstm_word2vec,9,5,0.4223300970873786
L3,bilstm_word2vec,9,6,0.5714285714285714
L3,bilstm_word2vec,9,7,0.08490566037735849
L3,bilstm_word2vec,9,8,0.2108626198083067
L3,bilstm_word2vec,9,9,0.3220338983050847
L3,bilstm_word2vec,10,0,0.6196581196581197
L3,bilstm_word2vec,10,1,0.21288515406162464
L3,bilstm_word2vec,10,2,0.5251989389920425
L3,bilstm_word2vec,10,3,0.6445497630331753
L3,bilstm_word2vec,10,4,0.30656934306569344
L3,bilstm_word2vec,10,5,0.3673469387755102
L3,bilstm_word2vec,10,6,0.6188340807174888
L3,bilstm_word2vec,10,7,0.4431818181818182
L3,bilstm_word2vec,10,8,0.363939899833055
L3,bilstm_word2vec,10,9,0.3194888178913738
